,time,follower_count
0,2/5/19 10:09 AM,13287198
0,2/5/19 11:09 AM,13288305
0,2/5/19 12:09 PM,13289454
0,2/5/19 1:09 PM,13290683
0,2/5/19 2:09 PM,13291843
0,2/5/19 3:09 PM,13292195
0,2/5/19 4:40 PM,13292524
0,2/5/19 5:41 PM,13292744
0,2/5/19 6:41 PM,13293003
0,2/5/19 7:41 PM,13293213
0,2/5/19 8:41 PM,13293394
0,2/5/19 9:41 PM,13293578
0,2/5/19 10:41 PM,13293709
0,2/5/19 11:41 PM,13293801
0,2/6/19 12:41 AM,13293884
0,2/6/19 1:41 AM,13293973
0,2/6/19 2:41 AM,13294049
0,2/6/19 3:41 AM,13294134
0,2/6/19 4:41 AM,13294256
0,2/6/19 5:41 AM,13294443
0,2/6/19 6:41 AM,13294597
0,2/6/19 8:11 AM,13294897
0,2/6/19 9:11 AM,13295122
0,2/6/19 10:11 AM,13295358